class,feature,coefficient,abs_coefficient
Home loss,home_team_away_draw_rate,-0.007107891428869315,0.007107891428869315
Home loss,is_world_cup,0.00016224713624514247,0.00016224713624514247
Home win,home_elo,0.4937705940404657,0.4937705940404657
Home win,away_elo,-0.47178339912299666,0.47178339912299666
Home win,away_ranking,0.18722842632329126,0.18722842632329126
Home win,away_team_away_conceded_avg,0.1734184418917585,0.1734184418917585
Home win,home_ranking,-0.15293099814892813,0.15293099814892813
Home win,neutral,-0.1485189728241236,0.1485189728241236
Home win,away_team_home_scored_avg,0.09576360570142202,0.09576360570142202
Home win,away_team_home_draw_rate,-0.07939793521880577,0.07939793521880577
Home win,away_team_away_win_rate,0.07443078000155813,0.07443078000155813
Home win,away_team_away_scored_avg,-0.06812187605696746,0.06812187605696746
Home win,home_h2h_win_rate,0.0647308609085505,0.0647308609085505
Home win,home_team_away_conceded_avg,-0.05771880687990529,0.05771880687990529
Home win,is_friendly,-0.057651741943015915,0.057651741943015915
Home win,home_team_home_conceded_avg,-0.055724762054259955,0.055724762054259955
Home win,home_team_home_scored_avg,0.04653930578035366,0.04653930578035366
Home win,home_team_away_win_rate,0.04567994126271076,0.04567994126271076
Home win,away_team_home_win_rate,0.04031747403363891,0.04031747403363891
Home win,home_points,-0.035365550182099005,0.035365550182099005
Home win,away_points,-0.029217421151962266,0.029217421151962266
Home win,home_h2h_draw_rate,-0.02912995970291057,0.02912995970291057
Home win,away_team_away_draw_rate,0.02759553241152999,0.02759553241152999
Home win,away_days_since_last,0.02508066090373888,0.02508066090373888
Home win,home_team_away_draw_rate,0.02478425158268689,0.02478425158268689
Home win,away_team_home_conceded_avg,0.015577124328873048,0.015577124328873048
Home win,home_team_away_scored_avg,-0.011062566889446285,0.011062566889446285
Home win,home_team_home_draw_rate,0.010642026382416628,0.010642026382416628
Home win,is_world_cup,0.009870912538732754,0.009870912538732754
Home win,home_team_home_win_rate,-0.009291091647056916,0.009291091647056916
Home win,home_days_since_last,-0.007208839095027767,0.007208839095027767
